case_id,arch,fdi,tooth_id,npz_path,split
001,U,11,1,samples\001_U_t11.npz,train
001,U,12,2,samples\001_U_t12.npz,train
001,U,13,3,samples\001_U_t13.npz,train
001,U,14,4,samples\001_U_t14.npz,train
001,U,15,5,samples\001_U_t15.npz,train
001,U,16,6,samples\001_U_t16.npz,train
001,U,17,7,samples\001_U_t17.npz,train
001,U,21,8,samples\001_U_t21.npz,train
001,U,22,9,samples\001_U_t22.npz,train
001,U,23,10,samples\001_U_t23.npz,train
001,U,24,11,samples\001_U_t24.npz,train
001,U,25,12,samples\001_U_t25.npz,train
001,U,26,13,samples\001_U_t26.npz,train
001,U,27,14,samples\001_U_t27.npz,train
001,L,31,8,samples\001_L_t31.npz,train
001,L,32,9,samples\001_L_t32.npz,train
001,L,33,10,samples\001_L_t33.npz,train
001,L,34,11,samples\001_L_t34.npz,train
001,L,35,12,samples\001_L_t35.npz,train
001,L,36,13,samples\001_L_t36.npz,train
001,L,37,14,samples\001_L_t37.npz,train
001,L,41,1,samples\001_L_t41.npz,train
001,L,42,2,samples\001_L_t42.npz,train
001,L,43,3,samples\001_L_t43.npz,train
001,L,44,4,samples\001_L_t44.npz,train
001,L,45,5,samples\001_L_t45.npz,train
001,L,46,6,samples\001_L_t46.npz,train
001,L,47,7,samples\001_L_t47.npz,train
