case_id,tooth_id,landmark,x,y,z,score,margin,missing_tooth,missing,nan,out_of_bounds,from_local
001,t11,m,,,,,,True,True,False,False,False
001,t11,ma,,,,,,True,True,False,False,False
001,t11,da,,,,,,True,True,False,False,False
001,t11,mc,,,,,,True,True,False,False,False
001,t11,dc,,,,,,True,True,False,False,False
001,t11,bgb,,,,,,True,True,False,False,False
001,t11,lgb,,,,,,True,True,False,False,False
001,t12,m,,,,,,True,True,False,False,False
001,t12,ma,,,,,,True,True,False,False,False
001,t12,da,,,,,,True,True,False,False,False
001,t12,mc,,,,,,True,True,False,False,False
001,t12,dc,,,,,,True,True,False,False,False
001,t12,bgb,,,,,,True,True,False,False,False
001,t12,lgb,,,,,,True,True,False,False,False
001,t13,m,,,,,,True,True,False,False,False
001,t13,mc,,,,,,True,True,False,False,False
001,t13,dc,,,,,,True,True,False,False,False
001,t13,bgb,,,,,,True,True,False,False,False
001,t13,lgb,,,,,,True,True,False,False,False
001,t14,b,,,,,,True,True,False,False,False
001,t14,l,,,,,,True,True,False,False,False
001,t14,m,,,,,,True,True,False,False,False
001,t14,mr,,,,,,True,True,False,False,False
001,t14,dr,,,,,,True,True,False,False,False
001,t14,mc,,,,,,True,True,False,False,False
001,t14,dc,,,,,,True,True,False,False,False
001,t14,bgb,,,,,,True,True,False,False,False
001,t14,lgb,,,,,,True,True,False,False,False
001,t15,b,,,,,,True,True,False,False,False
001,t15,l,,,,,,True,True,False,False,False
001,t15,m,,,,,,True,True,False,False,False
001,t15,mr,,,,,,True,True,False,False,False
001,t15,dr,,,,,,True,True,False,False,False
001,t15,mc,,,,,,True,True,False,False,False
001,t15,dc,,,,,,True,True,False,False,False
001,t15,bgb,,,,,,True,True,False,False,False
001,t15,lgb,,,,,,True,True,False,False,False
001,t16,mb,,,,,,True,True,False,False,False
001,t16,db,,,,,,True,True,False,False,False
001,t16,ml,,,,,,True,True,False,False,False
001,t16,dl,,,,,,True,True,False,False,False
001,t16,bg,,,,,,True,True,False,False,False
001,t16,m,,,,,,True,True,False,False,False
001,t16,mr,,,,,,True,True,False,False,False
001,t16,dr,,,,,,True,True,False,False,False
001,t16,mc,,,,,,True,True,False,False,False
001,t16,dc,,,,,,True,True,False,False,False
001,t16,bgb,,,,,,True,True,False,False,False
001,t16,lgb,,,,,,True,True,False,False,False
001,t17,mb,,,,,,True,True,False,False,False
001,t17,db,,,,,,True,True,False,False,False
001,t17,ml,,,,,,True,True,False,False,False
001,t17,dl,,,,,,True,True,False,False,False
001,t17,bg,,,,,,True,True,False,False,False
001,t17,m,,,,,,True,True,False,False,False
001,t17,mr,,,,,,True,True,False,False,False
001,t17,dr,,,,,,True,True,False,False,False
001,t17,mc,,,,,,True,True,False,False,False
001,t17,dc,,,,,,True,True,False,False,False
001,t17,bgb,,,,,,True,True,False,False,False
001,t17,lgb,,,,,,True,True,False,False,False
001,t21,m,,,,,,True,True,False,False,False
001,t21,ma,,,,,,True,True,False,False,False
001,t21,da,,,,,,True,True,False,False,False
001,t21,mc,,,,,,True,True,False,False,False
001,t21,dc,,,,,,True,True,False,False,False
001,t21,bgb,,,,,,True,True,False,False,False
001,t21,lgb,,,,,,True,True,False,False,False
001,t22,m,,,,,,True,True,False,False,False
001,t22,ma,,,,,,True,True,False,False,False
001,t22,da,,,,,,True,True,False,False,False
001,t22,mc,,,,,,True,True,False,False,False
001,t22,dc,,,,,,True,True,False,False,False
001,t22,bgb,,,,,,True,True,False,False,False
001,t22,lgb,,,,,,True,True,False,False,False
001,t23,m,,,,,,True,True,False,False,False
001,t23,mc,,,,,,True,True,False,False,False
001,t23,dc,,,,,,True,True,False,False,False
001,t23,bgb,,,,,,True,True,False,False,False
001,t23,lgb,,,,,,True,True,False,False,False
001,t24,b,,,,,,True,True,False,False,False
001,t24,l,,,,,,True,True,False,False,False
001,t24,m,,,,,,True,True,False,False,False
001,t24,mr,,,,,,True,True,False,False,False
001,t24,dr,,,,,,True,True,False,False,False
001,t24,mc,,,,,,True,True,False,False,False
001,t24,dc,,,,,,True,True,False,False,False
001,t24,bgb,,,,,,True,True,False,False,False
001,t24,lgb,,,,,,True,True,False,False,False
001,t25,b,,,,,,True,True,False,False,False
001,t25,l,,,,,,True,True,False,False,False
001,t25,m,,,,,,True,True,False,False,False
001,t25,mr,,,,,,True,True,False,False,False
001,t25,dr,,,,,,True,True,False,False,False
001,t25,mc,,,,,,True,True,False,False,False
001,t25,dc,,,,,,True,True,False,False,False
001,t25,bgb,,,,,,True,True,False,False,False
001,t25,lgb,,,,,,True,True,False,False,False
001,t26,mb,,,,,,True,True,False,False,False
001,t26,db,,,,,,True,True,False,False,False
001,t26,ml,,,,,,True,True,False,False,False
001,t26,dl,,,,,,True,True,False,False,False
001,t26,bg,,,,,,True,True,False,False,False
001,t26,m,,,,,,True,True,False,False,False
001,t26,mr,,,,,,True,True,False,False,False
001,t26,dr,,,,,,True,True,False,False,False
001,t26,mc,,,,,,True,True,False,False,False
001,t26,dc,,,,,,True,True,False,False,False
001,t26,bgb,,,,,,True,True,False,False,False
001,t26,lgb,,,,,,True,True,False,False,False
001,t27,mb,30.809906005859375,-10.365077018737793,-15.633234977722168,0.9496226906776428,0.00011175870895385742,False,False,False,False,False
001,t27,db,28.85338020324707,-11.521339416503906,-21.926259994506836,0.9552088975906372,0.00037175416946411133,False,False,False,False,False
001,t27,ml,24.17057228088379,-13.608233451843262,-18.66070556640625,0.9601802229881287,7.426738739013672e-05,False,False,False,False,False
001,t27,dl,24.671560287475586,-12.90515422821045,-23.625852584838867,0.9592158198356628,0.0003057122230529785,False,False,False,False,False
001,t27,bg,30.105382919311523,-10.245146751403809,-20.093921661376953,0.9523119330406189,0.00020486116409301758,False,False,False,False,False
001,t27,m,27.080825805664062,-9.824357032775879,-19.80162239074707,0.9528847932815552,0.0008104443550109863,False,False,False,False,False
001,t27,mr,25.61784553527832,-10.846142768859863,-15.202540397644043,0.9551706910133362,0.0004973411560058594,False,False,False,False,False
001,t27,dr,25.618661880493164,-10.57618522644043,-25.437955856323242,0.9667742252349854,0.0007517337799072266,False,False,False,False,False
001,t27,mc,25.405227661132812,-10.258515357971191,-14.736473083496094,0.9501135945320129,0.00022548437118530273,False,False,False,False,False
001,t27,dc,25.916757583618164,-10.312273025512695,-25.416173934936523,0.9603023529052734,0.000866234302520752,False,False,False,False,False
001,t27,bgb,31.367727279663086,-5.702882289886475,-21.25935173034668,0.9556769132614136,0.0006119012832641602,False,False,False,False,False
001,t27,lgb,20.94615364074707,-11.917643547058105,-21.194673538208008,0.9511017203330994,0.00026088953018188477,False,False,False,False,False
001,t31,m,,,,,,True,True,False,False,False
001,t31,ma,,,,,,True,True,False,False,False
001,t31,da,,,,,,True,True,False,False,False
001,t31,mc,,,,,,True,True,False,False,False
001,t31,dc,,,,,,True,True,False,False,False
001,t31,bgb,,,,,,True,True,False,False,False
001,t31,lgb,,,,,,True,True,False,False,False
001,t32,m,,,,,,True,True,False,False,False
001,t32,ma,,,,,,True,True,False,False,False
001,t32,da,,,,,,True,True,False,False,False
001,t32,mc,,,,,,True,True,False,False,False
001,t32,dc,,,,,,True,True,False,False,False
001,t32,bgb,,,,,,True,True,False,False,False
001,t32,lgb,,,,,,True,True,False,False,False
001,t33,m,,,,,,True,True,False,False,False
001,t33,mc,,,,,,True,True,False,False,False
001,t33,dc,,,,,,True,True,False,False,False
001,t33,bgb,,,,,,True,True,False,False,False
001,t33,lgb,,,,,,True,True,False,False,False
001,t34,b,,,,,,True,True,False,False,False
001,t34,l,,,,,,True,True,False,False,False
001,t34,m,,,,,,True,True,False,False,False
001,t34,mr,,,,,,True,True,False,False,False
001,t34,dr,,,,,,True,True,False,False,False
001,t34,mc,,,,,,True,True,False,False,False
001,t34,dc,,,,,,True,True,False,False,False
001,t34,bgb,,,,,,True,True,False,False,False
001,t34,lgb,,,,,,True,True,False,False,False
001,t35,b,,,,,,True,True,False,False,False
001,t35,l,,,,,,True,True,False,False,False
001,t35,m,,,,,,True,True,False,False,False
001,t35,mr,,,,,,True,True,False,False,False
001,t35,dr,,,,,,True,True,False,False,False
001,t35,mc,,,,,,True,True,False,False,False
001,t35,dc,,,,,,True,True,False,False,False
001,t35,bgb,,,,,,True,True,False,False,False
001,t35,lgb,,,,,,True,True,False,False,False
001,t36,mb,,,,,,True,True,False,False,False
001,t36,db,,,,,,True,True,False,False,False
001,t36,ml,,,,,,True,True,False,False,False
001,t36,dl,,,,,,True,True,False,False,False
001,t36,bg,,,,,,True,True,False,False,False
001,t36,m,,,,,,True,True,False,False,False
001,t36,mr,,,,,,True,True,False,False,False
001,t36,dr,,,,,,True,True,False,False,False
001,t36,mc,,,,,,True,True,False,False,False
001,t36,dc,,,,,,True,True,False,False,False
001,t36,bgb,,,,,,True,True,False,False,False
001,t36,lgb,,,,,,True,True,False,False,False
001,t37,mb,,,,,,True,True,False,False,False
001,t37,db,,,,,,True,True,False,False,False
001,t37,ml,,,,,,True,True,False,False,False
001,t37,dl,,,,,,True,True,False,False,False
001,t37,bg,,,,,,True,True,False,False,False
001,t37,m,,,,,,True,True,False,False,False
001,t37,mr,,,,,,True,True,False,False,False
001,t37,dr,,,,,,True,True,False,False,False
001,t37,mc,,,,,,True,True,False,False,False
001,t37,dc,,,,,,True,True,False,False,False
001,t37,bgb,,,,,,True,True,False,False,False
001,t37,lgb,,,,,,True,True,False,False,False
001,t41,m,,,,,,True,True,False,False,False
001,t41,ma,,,,,,True,True,False,False,False
001,t41,da,,,,,,True,True,False,False,False
001,t41,mc,,,,,,True,True,False,False,False
001,t41,dc,,,,,,True,True,False,False,False
001,t41,bgb,,,,,,True,True,False,False,False
001,t41,lgb,,,,,,True,True,False,False,False
001,t42,m,,,,,,True,True,False,False,False
001,t42,ma,,,,,,True,True,False,False,False
001,t42,da,,,,,,True,True,False,False,False
001,t42,mc,,,,,,True,True,False,False,False
001,t42,dc,,,,,,True,True,False,False,False
001,t42,bgb,,,,,,True,True,False,False,False
001,t42,lgb,,,,,,True,True,False,False,False
001,t43,m,,,,,,True,True,False,False,False
001,t43,mc,,,,,,True,True,False,False,False
001,t43,dc,,,,,,True,True,False,False,False
001,t43,bgb,,,,,,True,True,False,False,False
001,t43,lgb,,,,,,True,True,False,False,False
001,t44,b,,,,,,True,True,False,False,False
001,t44,l,,,,,,True,True,False,False,False
001,t44,m,,,,,,True,True,False,False,False
001,t44,mr,,,,,,True,True,False,False,False
001,t44,dr,,,,,,True,True,False,False,False
001,t44,mc,,,,,,True,True,False,False,False
001,t44,dc,,,,,,True,True,False,False,False
001,t44,bgb,,,,,,True,True,False,False,False
001,t44,lgb,,,,,,True,True,False,False,False
001,t45,b,,,,,,True,True,False,False,False
001,t45,l,,,,,,True,True,False,False,False
001,t45,m,,,,,,True,True,False,False,False
001,t45,mr,,,,,,True,True,False,False,False
001,t45,dr,,,,,,True,True,False,False,False
001,t45,mc,,,,,,True,True,False,False,False
001,t45,dc,,,,,,True,True,False,False,False
001,t45,bgb,,,,,,True,True,False,False,False
001,t45,lgb,,,,,,True,True,False,False,False
001,t46,mb,,,,,,True,True,False,False,False
001,t46,db,,,,,,True,True,False,False,False
001,t46,ml,,,,,,True,True,False,False,False
001,t46,dl,,,,,,True,True,False,False,False
001,t46,bg,,,,,,True,True,False,False,False
001,t46,m,,,,,,True,True,False,False,False
001,t46,mr,,,,,,True,True,False,False,False
001,t46,dr,,,,,,True,True,False,False,False
001,t46,mc,,,,,,True,True,False,False,False
001,t46,dc,,,,,,True,True,False,False,False
001,t46,bgb,,,,,,True,True,False,False,False
001,t46,lgb,,,,,,True,True,False,False,False
001,t47,mb,,,,,,True,True,False,False,False
001,t47,db,,,,,,True,True,False,False,False
001,t47,ml,,,,,,True,True,False,False,False
001,t47,dl,,,,,,True,True,False,False,False
001,t47,bg,,,,,,True,True,False,False,False
001,t47,m,,,,,,True,True,False,False,False
001,t47,mr,,,,,,True,True,False,False,False
001,t47,dr,,,,,,True,True,False,False,False
001,t47,mc,,,,,,True,True,False,False,False
001,t47,dc,,,,,,True,True,False,False,False
001,t47,bgb,,,,,,True,True,False,False,False
001,t47,lgb,,,,,,True,True,False,False,False
